Replicate	16S_102_Bodkhe	16S_119_Salamon	16S_80_Garcia	Mean	Model
1	0.5787037037037037	0.4473684210526316	0.4375	0.48785737491877845	mlp
2	0.5763888888888888	0.48026315789473684	0.4375	0.4980506822612085	mlp
3	0.5648148148148149	0.4736842105263158	0.453125	0.4972080084470436	mlp
4	0.5810185185185185	0.43684210526315786	0.4375	0.48512020792722543	mlp
5	0.5833333333333334	0.45789473684210524	0.46875	0.5033260233918129	mlp
Average	0.576851851851852	0.45921052631578946	0.446875	0.4943124593892138	mlp
1	0.5289351851851851	0.6335526315789474	0.7734375	0.6453084389213775	xgboost
2	0.5289351851851851	0.6335526315789474	0.7734375	0.6453084389213775	xgboost
3	0.5289351851851851	0.6335526315789474	0.7734375	0.6453084389213775	xgboost
4	0.5289351851851851	0.6335526315789474	0.7734375	0.6453084389213775	xgboost
5	0.5289351851851851	0.6335526315789474	0.7734375	0.6453084389213775	xgboost
Average	0.5289351851851851	0.6335526315789474	0.7734375	0.6453084389213775	xgboost
1	0.6064814814814815	0.5144736842105263	0.703125	0.608026721897336	svm
2	0.6064814814814815	0.5131578947368421	0.703125	0.6075881254061078	svm
3	0.6064814814814815	0.5131578947368421	0.703125	0.6075881254061078	svm
4	0.6064814814814815	0.5184210526315789	0.703125	0.6093425113710201	svm
5	0.6064814814814815	0.5131578947368421	0.703125	0.6075881254061078	svm
Average	0.6064814814814815	0.5144736842105263	0.703125	0.608026721897336	svm
1	0.6041666666666667	0.5289473684210526	0.703125	0.6120796783625732	lr
2	0.6041666666666667	0.5289473684210526	0.703125	0.6120796783625732	lr
3	0.6041666666666667	0.5289473684210526	0.703125	0.6120796783625732	lr
4	0.6041666666666667	0.5289473684210526	0.703125	0.6120796783625732	lr
5	0.6041666666666667	0.5289473684210526	0.703125	0.6120796783625732	lr
Average	0.6041666666666667	0.5289473684210526	0.703125	0.6120796783625732	lr
1	0.49768518518518523	0.3881578947368421	0.3671875	0.4176768599740091	rf
2	0.41203703703703703	0.49276315789473685	0.375	0.42660006497725794	rf
3	0.5219907407407408	0.425	0.5234375	0.49014274691358023	rf
4	0.4918981481481482	0.39605263157894743	0.34375	0.41056692657569854	rf
5	0.513888888888889	0.4592105263157895	0.390625	0.4545748050682262	rf
Average	0.4875000000000001	0.4322368421052632	0.4	0.4399122807017545	rf
