Replicate	Fold_1	Fold_2	Fold_3	Fold_4	Fold_5	Fold_6	Fold_7	Fold_8	Fold_9	Fold_10	Mean	Model
1	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.7222222222222222	0.8333333333333334	0.5555555555555556	0.5	0.638888888888889	0.6666666666666667	0.613888888888889	mlp
2	0.638888888888889	0.6111111111111112	0.6666666666666667	0.6944444444444444	0.8611111111111112	0.4444444444444444	0.3055555555555556	0.47222222222222215	0.41666666666666663	0.6666666666666667	0.5777777777777778	mlp
3	0.5277777777777777	0.5555555555555556	0.41666666666666663	0.7222222222222223	0.6944444444444446	0.4722222222222222	0.75	0.8333333333333334	0.5833333333333334	0.888888888888889	0.6444444444444446	mlp
4	0.33333333333333337	0.33333333333333337	0.6666666666666667	0.6111111111111112	0.5833333333333333	0.75	0.7222222222222223	0.6666666666666667	0.6111111111111112	0.6388888888888888	0.5916666666666668	mlp
5	0.6111111111111112	0.4722222222222222	0.5555555555555556	0.5833333333333334	0.7777777777777778	0.6944444444444445	0.4444444444444445	0.611111111111111	0.3611111111111111	0.5833333333333333	0.5694444444444444	mlp
Average	0.5333333333333334	0.5055555555555556	0.5722222222222222	0.6333333333333334	0.7277777777777779	0.638888888888889	0.5555555555555556	0.6166666666666667	0.5222222222222223	0.6888888888888889	0.5994444444444446	mlp
1	0.5833333333333334	0.3055555555555555	0.4444444444444444	0.4722222222222223	0.27777777777777773	0.3055555555555555	0.6111111111111112	0.6666666666666666	0.5555555555555556	0.888888888888889	0.5111111111111112	xgboost
2	0.49999999999999994	0.4166666666666667	0.5833333333333333	0.5277777777777778	0.47222222222222227	0.8611111111111112	0.19444444444444445	0.4444444444444445	0.5833333333333333	0.6388888888888888	0.5222222222222221	xgboost
3	0.4722222222222222	0.5833333333333334	0.13888888888888887	0.4444444444444445	0.5833333333333334	0.75	0.25	0.5	0.5	0.6666666666666667	0.48888888888888893	xgboost
4	0.3611111111111111	0.7777777777777779	0.6666666666666667	0.33333333333333326	0.33333333333333337	0.08333333333333333	0.6388888888888891	0.4444444444444445	0.5	0.6944444444444444	0.4833333333333334	xgboost
5	0.4444444444444445	0.4444444444444444	0.5	0.38888888888888895	0.4722222222222222	0.6944444444444444	0.5	0.3611111111111111	0.1388888888888889	0.5	0.4444444444444445	xgboost
Average	0.4722222222222222	0.5055555555555555	0.4666666666666666	0.4333333333333333	0.42777777777777787	0.538888888888889	0.43888888888888894	0.4833333333333334	0.45555555555555555	0.6777777777777778	0.49000000000000005	xgboost
1	0.6944444444444445	0.47222222222222227	0.13888888888888887	0.5277777777777778	0.5833333333333333	0.5833333333333335	0.4722222222222222	0.3055555555555555	0.6944444444444445	0.16666666666666666	0.4638888888888889	svm
2	0.27777777777777773	0.19444444444444442	0.5833333333333333	0.5	0.5	0.4722222222222222	0.2222222222222222	0.6388888888888888	0.2777777777777778	0.6666666666666667	0.4333333333333333	svm
3	0.6666666666666667	0.5833333333333333	0.5833333333333333	0.5833333333333333	0.5833333333333333	0.5	0.5	0.5	0.5	0.4166666666666667	0.5416666666666667	svm
4	0.3888888888888889	0.75	0.4444444444444444	0.2777777777777778	0.5	0.41666666666666663	0.36111111111111116	0.4722222222222222	0.5277777777777778	0.27777777777777773	0.4416666666666667	svm
5	0.5	0.33333333333333337	0.5833333333333334	0.6666666666666666	0.1388888888888889	0.5833333333333334	0.6388888888888888	0.16666666666666663	0.5	0.8333333333333334	0.49444444444444435	svm
Average	0.5055555555555556	0.4666666666666667	0.4666666666666666	0.5111111111111111	0.4611111111111111	0.5111111111111112	0.43888888888888894	0.41666666666666663	0.5	0.4722222222222222	0.475	svm
1	0.5833333333333334	0.5555555555555556	0.6944444444444444	0.5555555555555556	0.38888888888888895	0.7222222222222223	0.5833333333333334	0.16666666666666669	0.5833333333333335	0.5833333333333334	0.5416666666666667	lr
2	0.5	0.5	0.5555555555555556	0.6666666666666666	0.33333333333333337	0.4166666666666667	0.36111111111111116	0.75	0.7777777777777779	0.4444444444444444	0.5305555555555557	lr
3	0.47222222222222227	0.3333333333333333	0.6111111111111112	0.6666666666666666	0.6111111111111112	0.4444444444444444	0.4444444444444444	0.4722222222222222	0.6388888888888888	0.5277777777777778	0.5222222222222223	lr
4	0.5	0.5555555555555556	0.5277777777777778	0.36111111111111116	0.5	0.7222222222222223	0.36111111111111116	0.6944444444444444	0.6111111111111112	0.75	0.5583333333333333	lr
5	0.3055555555555556	0.38888888888888895	0.33333333333333337	0.7222222222222223	0.5	0.2777777777777778	0.6666666666666667	0.7500000000000001	0.44444444444444453	0.41666666666666663	0.4805555555555556	lr
Average	0.4722222222222223	0.4666666666666667	0.5444444444444445	0.5944444444444444	0.4666666666666667	0.5166666666666667	0.4833333333333334	0.5666666666666667	0.6111111111111112	0.5444444444444444	0.5266666666666666	lr
1	0.888888888888889	0.24999999999999997	0.6666666666666667	0.7361111111111112	0.8611111111111112	0.5277777777777779	0.5277777777777777	0.5833333333333334	0.3333333333333333	0.4444444444444444	0.5819444444444445	rf
2	0.888888888888889	0.6944444444444444	0.6111111111111112	0.6666666666666667	0.3611111111111111	0.2777777777777778	0.8611111111111112	0.7500000000000001	0.5833333333333333	0.4444444444444445	0.6138888888888889	rf
3	0.6666666666666667	0.4444444444444444	0.6666666666666667	0.19444444444444445	0.8333333333333333	0.7500000000000001	0.36111111111111116	0.3611111111111111	0.3888888888888889	0.888888888888889	0.5555555555555557	rf
4	0.7222222222222222	0.5833333333333334	0.5	0.6388888888888888	0.6111111111111112	0.5833333333333334	0.7222222222222223	0.4444444444444444	0.7222222222222221	0.8333333333333334	0.6361111111111112	rf
5	0.33333333333333337	0.638888888888889	0.638888888888889	0.7222222222222223	0.5000000000000001	0.5833333333333335	0.4166666666666667	0.6111111111111112	0.5833333333333333	0.6111111111111112	0.5638888888888889	rf
Average	0.7000000000000001	0.5222222222222223	0.6166666666666667	0.5916666666666667	0.6333333333333333	0.5444444444444445	0.5777777777777777	0.55	0.5222222222222221	0.6444444444444445	0.5902777777777779	rf
