"Position","Frequency"
"1",291
"86",17
"87",2
"88",1
"89",12
"90",1
"91",1
"92",13
"93",3
"94",9
"95",3
"96",13
"97",15
"101",4
"112",1
"114",1
"117",1
"118",9
"119",21542
"120",225
"122",18
"124",7
"141",3
"142",1
"148",92
"149",44
"154",2
"156",76
"158",17
"160",46
"161",83
"163",2
"164",20
"166",2
"167",7
"169",100
"171",2
"175",4
"177",3
"479",2
"490",13
"492",1192
"494",4226
"503",3
"504",599
"506",943
"517",1
"518",1285
"521",553
"522",3136
"527",25
"528",114
"530",2543
"533",65
"534",6
"536",2
"537",3
"539",2
"541",1
"542",1
"543",2
"546",2
"549",1
"551",2
"553",27
"556",108
"558",25
"559",12
"560",25
"561",38
"562",38
"563",9
"564",3
"565",5
"568",1
"577",1
"578",1164
"1141",1
"1157",2
"1161",1
"1163",1
"1164",1
"1170",2
"1171",2
"1183",1
"1184",2
"1187",1
"1188",3
"1189",6
"1190",2
"1191",4
"1192",3
"1193",4
"1194",3
"1195",3
"1197",5
"1198",4
"1199",4
"1201",10
"1203",5
"1204",8
"1206",1
"1207",10
"1208",7
"1209",11
"1210",5
"1211",9
"1212",13
"1213",15
"1214",5
"1215",12
"1216",14
"1218",14
"1219",11
"1220",12
"1221",21
"1222",17
"1223",25
"1224",18
"1226",20
"1227",10
"Inf",1
